ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA
T20230021584,1/9/2023,23:00:00,1,Collision with vehicle,5,Friday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,6,291551,Cross intersection,3,40,Local Road
T20230020472,1/9/2023,19:16:00,1,Collision with vehicle,6,Friday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),3,43085,Cross intersection,2,60,Arterial Highway
T20230021436,1/9/2023,14:00:00,1,Collision with vehicle,5,Friday,137,LEFT TURN SIDESWIPE,1,65471,Cross intersection,3,50,Local Road
T20230020459,1/9/2023,13:45:00,1,Collision with vehicle,6,Friday,140,U TURN,1,780834,T intersection,2,60,Local Road
T20230020457,1/9/2023,16:48:00,1,Collision with vehicle,6,Friday,129,OTHER OPPOSING MANOEUVRES NOT INCLUDED IN DCAs 120-125.,1,29870,T intersection,3,80,Freeway
T20230020430,1/9/2023,12:03:00,1,Collision with vehicle,6,Friday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,244,T intersection,2,80,Arterial Highway
T20230020517,1/9/2023,17:00:00,1,Collision with vehicle,5,Friday,130,REAR END(VEHICLES IN SAME LANE),2,780130,Not at intersection,3,60,Arterial Other
T20230020754,1/9/2023,14:05:00,1,Collision with vehicle,5,Friday,130,REAR END(VEHICLES IN SAME LANE),1,780580,Not at intersection,3,80,Arterial Highway
T20230020425,1/9/2023,11:38:00,1,Collision with vehicle,6,Friday,131,LEFT REAR,1,782174,T intersection,2,50,Local Road
T20230020711,1/9/2023,17:10:00,1,Collision with vehicle,5,Friday,130,REAR END(VEHICLES IN SAME LANE),2,780773,Not at intersection,3,60,Arterial Other
T20230020485,1/9/2023,19:28:00,4,Collision with a fixed object,5,Friday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,789878,Not at intersection,3,60,Local Road
T20230020460,1/9/2023,16:40:00,1,Collision with vehicle,6,Friday,130,REAR END(VEHICLES IN SAME LANE),2,780183,Not at intersection,2,70,Arterial Highway
T20230020479,1/9/2023,18:30:00,1,Collision with vehicle,5,Friday,121,RIGHT THROUGH,3,55795,Cross intersection,2,80,Arterial Other
T20230020414,1/9/2023,09:15:00,1,Collision with vehicle,5,Friday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,780006,Not at intersection,3,40,Local Road
T20230020455,1/9/2023,16:10:00,1,Collision with vehicle,6,Friday,111,RIGHT FAR (INTERSECTIONS ONLY),1,46493,T intersection,3,40,Local Road
T20230021546,1/9/2023,15:30:00,1,Collision with vehicle,5,Friday,121,RIGHT THROUGH,1,45641,T intersection,3,60,Arterial Other
T20230020473,1/9/2023,14:54:00,1,Collision with vehicle,6,Friday,120,HEAD ON (NOT OVERTAKING),1,783503,Not at intersection,2,40,Arterial Other
T20230020490,1/9/2023,22:45:00,4,Collision with a fixed object,6,Friday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,5,780629,Not at intersection,2,100,Local Road
T20230020478,1/9/2023,15:30:00,6,Vehicle overturned (no collision),6,Friday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,236644,Not at intersection,2,100,Freeway
